Name,Url
Gregory Abowd,https://ai.northeastern.edu/our-people/gregory-abowd
Malihe Alikhani,https://ai.northeastern.edu/our-people/malihe-alikhani
Akram Alshawabkeh,
Chris Amato,https://ai.northeastern.edu/our-people/christopher-amato
Silvio Moreira Amir,https://ai.northeastern.edu/our-people/silvio-amir
Jay Aslam,
Brian Ball,https://ai.northeastern.edu/our-people/brian-ball
László Barabási,https://ai.northeastern.edu/our-people/albert-laszlo-barabasi
Yakov Bart,https://ai.northeastern.edu/our-people/yakov-bart
Stefano Basagni,https://ai.northeastern.edu/our-people/stefano-basagni
John Basl,https://ai.northeastern.edu/our-people/john-basl
David Bau,https://ai.northeastern.edu/our-people/david-bau
Enrico Bertini,https://ai.northeastern.edu/our-people/enrico-bertini
Octavia Camps,
Luca Caracoglia,https://ai.northeastern.edu/our-people/luca-caracoglia
"Qin ""Jim"" Chen",
David Choffnes,https://ai.northeastern.edu/our-people/david-choffnes
Pau Closas,https://ai.northeastern.edu/our-people/pau-closas
Kathleen Creel,https://ai.northeastern.edu/our-people/kathleen-creel
David  De Cremer,https://ai.northeastern.edu/our-people/david-de-cremer
Adam Ding,https://ai.northeastern.edu/our-people/aidong-adam-ding
Sija Dong,https://ai.northeastern.edu/our-people/sijia-dong
Jennifer Dy,https://ai.northeastern.edu/our-people/jennifer-dy
Ehsan Elhamifar,
Tina Eliassi-Rad,https://ai.northeastern.edu/our-people/tina-eliassi-rad
Deniz Erdogmus,https://ai.northeastern.edu/our-people/deniz-erdogmus
Ozlem Ergun,https://ai.northeastern.edu/our-people/ozlem-ergun
Sina Fazelpour,https://ai.northeastern.edu/our-people/sina-fazelpour
Lisa Feldman Barrett,https://ai.northeastern.edu/our-people/lisa-feldman-barrett
Brooke Foucault Welles,https://ai.northeastern.edu/our-people/brooke-foucault-welles
Wolfgang Gatterbauer,https://ai.northeastern.edu/our-people/wolfgang-gatterbauer
Fatemeh Ghoreishi,https://ai.northeastern.edu/our-people/fatemeh-ghoreishi
Matt Goodwin,https://ai.northeastern.edu/our-people/matthew-goodwin
Tarik Gouhier,https://ai.northeastern.edu/our-people/tarik-gouhier
Ben  Gyori,https://ai.northeastern.edu/our-people/benjamin-gyori
Paul Hand,https://ai.northeastern.edu/our-people/paul-hand
Casper Harteveld,https://ai.northeastern.edu/our-people/casper-harteveld
Woodrow Hartzog,https://ai.northeastern.edu/our-people/woodrow-hartzog
Megan Hofmann,https://ai.northeastern.edu/our-people/megan-hofmann
Stephen Intille,https://ai.northeastern.edu/our-people/stephen-intille
Stratis Ioannidis,https://ai.northeastern.edu/our-people/stratis-ioannidis
Patricia J. Williams,https://ai.northeastern.edu/our-people/patricia-j-williams
Huaizu Jiang,https://ai.northeastern.edu/our-people/huaizu-jiang
David Kaeli,https://ai.northeastern.edu/our-people/david-kaeli
Michael Kane,
Engin Kirda,https://ai.northeastern.edu/our-people/engin-kirda
Alexandros Koliousis,https://ai.northeastern.edu/our-people/alexandros-koliousis
David Lazer,https://ai.northeastern.edu/our-people/david-lazer
Robert Leeman,https://ai.northeastern.edu/our-people/robert-leeman
Laurent Lessard,https://ai.northeastern.edu/our-people/laurent-lessard
"Xue ""Shelley"" Lin",https://ai.northeastern.edu/our-people/xue-lin
Yingzi Lin,https://ai.northeastern.edu/our-people/yingzi-lin
Yongmin Liu,https://ai.northeastern.edu/our-people/yongmin-liu
Katie Lotterhos,https://ai.northeastern.edu/our-people/katie-lotterhos
Lingfei  Luan,https://ai.northeastern.edu/our-people/lingfei-luan
David Madigan,https://ai.northeastern.edu/our-people/david-madigan
Lee Makowski,https://ai.northeastern.edu/our-people/lee-makowski
Justin Manjourdes,https://ai.northeastern.edu/our-people/justin-manjourides
Stacy Marsella,
Ningfang Mi,https://ai.northeastern.edu/our-people/ningfang-mi
Renee Miller,
Varun Mishra,https://ai.northeastern.edu/our-people/varun-mishra
Alan Mislove,
Amy Mueller,https://ai.northeastern.edu/our-people/amy-mueller
Cristina Nita-Rotaru,https://ai.northeastern.edu/our-people/cristina-nita-rotaru
Muhammad Noor,https://ai.northeastern.edu/our-people/muhammad-noor-e-alam
Beth Noveck,https://ai.northeastern.edu/our-people/beth-noveck
Mary Jo Ondrechen,https://ai.northeastern.edu/our-people/mary-jo-ondrechen
Alina Oprea,https://ai.northeastern.edu/our-people/alina-oprea
Sarah Ostadabbas,https://ai.northeastern.edu/our-people/sarah-ostadabbas
Taskin Padir,https://ai.northeastern.edu/our-people/taskin-padir
Rupal Patel,https://ai.northeastern.edu/our-people/rupal-patel
Misha Pavel,
Rob Platt,https://ai.northeastern.edu/our-people/robert-platt
Karen Quigley,https://ai.northeastern.edu/our-people/karen-quigley
Predrag Radivojac,https://ai.northeastern.edu/our-people/predrag-radivojac
Carey Rappaport,https://ai.northeastern.edu/our-people/carey-rappaport
Francesco Restuccia,https://ai.northeastern.edu/our-people/francesco-restuccia
Miriek Riedewald,
David Rosen,https://ai.northeastern.edu/our-people/david-rosen
Ronald Sandler,https://ai.northeastern.edu/our-people/ronald-sandler
Aarti Sathyanaranaya,
Ajay Satpute,https://ai.northeastern.edu/our-people/ajay-satpute
Gunar Schirner,
Aatmesh Shrivastava,https://ai.northeastern.edu/our-people/aatmesh-shrivastava
Milad Siami,https://ai.northeastern.edu/our-people/milad-siami
Hanumant Singh,https://ai.northeastern.edu/our-people/hanumant-singh
Rifat Sipahi,https://ai.northeastern.edu/our-people/rifat-sipahi
David Smith,https://ai.northeastern.edu/our-people/david-smith
Eduardo Sontag,https://ai.northeastern.edu/our-people/eduardo-sontag
Dagmar Sternad,https://ai.northeastern.edu/our-people/dagmar-sternad
Militsa Stojanovic,https://ai.northeastern.edu/our-people/milica-stojanovic
Lili Su,https://ai.northeastern.edu/our-people/lili-su
Mario Sznaier,
Devesh Tiwari,https://ai.northeastern.edu/our-people/devesh-tiwari
Melanie Tory,https://ai.northeastern.edu/our-people/melanie-tory
Ilya Vidrin,https://ai.northeastern.edu/our-people/ilya-vidrin
Olga Vitek,https://ai.northeastern.edu/our-people/olga-vitek
Byron Wallace,https://ai.northeastern.edu/our-people/byron-wallace
Robin Walters,https://ai.northeastern.edu/our-people/robin-walters
Dakuo Wang,https://ai.northeastern.edu/our-people/dakuo-wang
Ryan Qi Wang,https://ai.northeastern.edu/our-people/ryan-qi-wang
Yanzhi Wang,https://ai.northeastern.edu/our-people/yanzhi-wang
Susan Whitfield-gabrieli,
Christo Wilson,https://ai.northeastern.edu/our-people/christo-wilson
Rai Winslow,https://ai.northeastern.edu/our-people/raimond-l-winslow
Lawson Wong,https://ai.northeastern.edu/our-people/lawson-wong
Wei Xie,https://ai.northeastern.edu/our-people/wei-xie
Mathew  Yarossi,https://ai.northeastern.edu/our-people/matthew-yarossi
Edmund Yeh,https://ai.northeastern.edu/our-people/edmund-yeh
Hongyang Zhang,https://ai.northeastern.edu/our-people/hongyang-zhang
Emily Zimmerman,https://ai.northeastern.edu/our-people/emily-zimmerman
Ibrahim Said Ahmad,https://ai.northeastern.edu/our-people/ibrahim-said-ahmad
Muhammad Ali,https://ai.northeastern.edu/our-people/muhammad-ali
Ivan Felipe Benavides Marinez,https://ai.northeastern.edu/our-people/ivan-felipe-benavides-marinez
Raman Chandrasekar,https://ai.northeastern.edu/our-people/raman-chandrasekar
Kenneth Church,https://ai.northeastern.edu/our-people/kenneth-church
